userid,libraryid,seatid,created_at,action,actionfrom
5337,2,5,2019-11-26 13:41:43,cancel,user
5337,2,1,2019-11-26 13:41:57,reserve,user
5337,2,1,2019-11-26 13:43:45,confirm,user
366,2,2,2019-11-26 13:48:20,reserve,user
366,2,2,2019-11-26 13:48:26,cancel,user
5337,2,1,2019-11-26 14:33:38,confirm,user
1040,2,6,2019-11-26 15:22:57,reserve,user
1040,2,6,2019-11-26 15:23:02,cancel,user
5337,2,1,2019-11-26 15:33:39,cancel,system
3738,2,7,2019-11-26 19:07:55,reserve,user
3738,2,7,2019-11-26 19:27:56,cancel,system
354,2,2,2019-11-26 21:24:40,reserve,user
354,2,2,2019-11-26 21:25:13,cancel,user
2742,2,89,2019-11-26 21:31:20,reserve,user
2742,2,89,2019-11-26 21:31:42,cancel,user
3711,2,1,2019-11-26 22:29:39,reserve,user
3711,2,1,2019-11-26 22:30:39,cancel,user
3711,2,2,2019-11-26 22:30:43,reserve,user
3711,2,2,2019-11-26 22:30:55,cancel,user
3711,2,6,2019-11-26 22:31:02,reserve,user
3711,2,6,2019-11-26 22:31:04,cancel,user
5583,2,1,2019-11-26 22:36:23,reserve,user
5583,2,1,2019-11-26 22:36:33,cancel,user
595,2,1,2019-11-26 22:40:39,reserve,user
595,2,1,2019-11-26 22:40:49,cancel,user
3711,2,1,2019-11-26 22:41:07,reserve,user
3711,2,1,2019-11-26 22:41:17,cancel,user
1744,2,8,2019-11-26 22:44:20,reserve,user
1656,2,2,2019-11-26 22:53:49,reserve,user
1656,2,2,2019-11-26 22:53:59,cancel,user
517,2,6,2019-11-26 23:04:03,reserve,user
517,2,6,2019-11-26 23:04:11,cancel,user
1744,2,8,2019-11-26 23:04:21,cancel,system
4061,2,90,2019-11-26 23:13:50,reserve,user
4061,2,90,2019-11-26 23:14:01,cancel,user
5984,2,92,2019-11-26 23:27:38,reserve,user
5984,2,92,2019-11-26 23:27:48,cancel,user
2128,2,2,2019-11-27 00:11:39,reserve,user
2128,2,2,2019-11-27 00:11:50,cancel,user
1672,2,8,2019-11-27 00:23:15,reserve,user
1672,2,8,2019-11-27 00:23:38,cancel,user
1024,2,89,2019-11-27 01:56:14,reserve,user
1024,2,89,2019-11-27 01:56:19,cancel,user
1024,2,1,2019-11-27 01:57:10,reserve,user
1024,2,1,2019-11-27 01:57:11,cancel,user
5073,2,1,2019-11-27 02:45:22,reserve,user
5073,2,1,2019-11-27 02:45:27,cancel,user
4494,2,7,2019-11-27 03:35:30,reserve,user
4494,2,7,2019-11-27 03:55:31,cancel,system
921,2,89,2019-11-27 05:24:30,reserve,user
921,2,89,2019-11-27 05:24:35,cancel,user
4366,2,8,2019-11-27 06:05:38,reserve,user
4366,2,8,2019-11-27 06:05:52,cancel,user
778,2,8,2019-11-27 06:05:57,reserve,user
778,2,8,2019-11-27 06:06:01,cancel,user
778,2,1,2019-11-27 06:06:08,reserve,user
778,2,1,2019-11-27 06:06:12,cancel,user
2491,2,89,2019-11-27 06:21:39,reserve,user
2491,2,89,2019-11-27 06:22:50,cancel,user
2491,2,89,2019-11-27 06:22:59,reserve,user
2491,2,89,2019-11-27 06:23:24,cancel,user
3609,2,90,2019-11-27 06:25:02,reserve,user
3609,2,90,2019-11-27 06:25:19,cancel,user
4181,2,1,2019-11-27 06:35:59,reserve,user
4181,2,1,2019-11-27 06:36:08,cancel,user
2390,2,8,2019-11-27 06:44:45,reserve,user
2390,2,8,2019-11-27 06:45:12,cancel,user
933,2,1,2019-11-27 06:51:13,reserve,user
933,2,1,2019-11-27 06:51:17,cancel,user
1781,2,6,2019-11-27 07:16:04,reserve,user
1781,2,6,2019-11-27 07:16:07,cancel,user
1781,2,4,2019-11-27 07:16:52,reserve,user
1781,2,4,2019-11-27 07:17:00,cancel,user
933,2,1,2019-11-27 07:36:22,reserve,user
933,2,1,2019-11-27 07:36:31,cancel,user
114,2,4,2019-11-27 08:12:19,reserve,user
114,2,4,2019-11-27 08:12:29,cancel,user
114,2,90,2019-11-27 08:12:41,reserve,user
114,2,90,2019-11-27 08:12:53,cancel,user
2890,2,6,2019-11-27 08:31:46,reserve,user
2890,2,6,2019-11-27 08:31:52,cancel,user
2371,2,1,2019-11-27 08:36:21,reserve,user
2371,2,1,2019-11-27 08:36:31,cancel,user
3308,2,2,2019-11-27 08:47:29,reserve,user
3308,2,2,2019-11-27 08:47:31,cancel,user
5016,2,1,2019-11-27 08:48:44,reserve,user
5016,2,1,2019-11-27 08:48:49,cancel,user
5337,2,1,2019-11-27 09:03:57,reserve,user
5337,2,1,2019-11-27 09:04:12,confirm,user
5337,2,1,2019-11-27 09:24:57,confirm,user
4041,2,2,2019-11-27 09:30:05,reserve,user
4041,2,2,2019-11-27 09:30:10,cancel,user
4762,2,7,2019-11-27 09:36:55,reserve,user
999,2,8,2019-11-27 09:36:59,reserve,user
3413,2,2,2019-11-27 09:37:57,reserve,user
3413,2,2,2019-11-27 09:38:09,cancel,user
999,2,8,2019-11-27 09:39:07,confirm,user
4762,2,7,2019-11-27 09:39:28,confirm,user
5605,2,6,2019-11-27 09:40:13,reserve,user
5605,2,6,2019-11-27 09:40:19,cancel,user
2828,2,2,2019-11-27 09:42:41,reserve,user
2828,2,2,2019-11-27 09:42:53,cancel,user
3609,2,90,2019-11-27 09:59:53,reserve,user
3609,2,90,2019-11-27 10:00:15,cancel,user
2101,2,6,2019-11-27 10:03:14,reserve,user
2101,2,6,2019-11-27 10:03:20,cancel,user
570,2,90,2019-11-27 10:06:22,reserve,user
2828,2,4,2019-11-27 10:06:35,reserve,user
570,2,90,2019-11-27 10:06:36,cancel,user
2828,2,4,2019-11-27 10:07:44,confirm,user
570,2,6,2019-11-27 10:15:59,reserve,user
570,2,6,2019-11-27 10:16:15,cancel,user
570,2,6,2019-11-27 10:16:45,reserve,user
5712,2,2,2019-11-27 10:21:29,reserve,user
5712,2,2,2019-11-27 10:21:49,confirm,user
5337,2,1,2019-11-27 10:21:50,confirm,user
2390,2,5,2019-11-27 10:30:30,reserve,user
2390,2,5,2019-11-27 10:30:41,cancel,user
570,2,6,2019-11-27 10:36:46,cancel,system
999,2,8,2019-11-27 10:39:08,cancel,system
4762,2,7,2019-11-27 10:39:29,cancel,system
5411,2,3,2019-11-27 10:41:01,reserve,user
5411,2,3,2019-11-27 10:41:05,cancel,user
2352,2,5,2019-11-27 10:43:36,reserve,user
2352,2,5,2019-11-27 10:43:41,cancel,user
3455,2,8,2019-11-27 10:45:03,reserve,user
3455,2,8,2019-11-27 10:45:13,cancel,user
4564,2,89,2019-11-27 10:46:16,reserve,user
4564,2,89,2019-11-27 10:46:23,cancel,user
1733,2,6,2019-11-27 10:52:28,reserve,user
1733,2,6,2019-11-27 10:52:30,cancel,user
505,2,5,2019-11-27 10:53:31,reserve,user
505,2,5,2019-11-27 10:53:41,cancel,user
54,2,7,2019-11-27 10:59:02,reserve,user
54,2,7,2019-11-27 10:59:08,cancel,user
2104,2,7,2019-11-27 11:01:33,reserve,user
2104,2,7,2019-11-27 11:01:36,cancel,user
1284,2,6,2019-11-27 11:04:32,reserve,user
1284,2,6,2019-11-27 11:04:47,cancel,user
4564,2,89,2019-11-27 11:07:18,reserve,user
4564,2,89,2019-11-27 11:07:21,cancel,user
2828,2,4,2019-11-27 11:07:45,cancel,system
5451,2,4,2019-11-27 11:13:29,reserve,user
5712,2,2,2019-11-27 11:16:32,confirm,user
5841,2,3,2019-11-27 11:17:19,reserve,user
5451,2,4,2019-11-27 11:19:29,confirm,user
5841,2,3,2019-11-27 11:19:55,confirm,user
5337,2,1,2019-11-27 11:21:51,cancel,system
1969,2,5,2019-11-27 11:22:44,reserve,user
1969,2,5,2019-11-27 11:22:48,cancel,user
4957,2,1,2019-11-27 11:24:25,reserve,user
4957,2,1,2019-11-27 11:24:36,cancel,user
5777,2,6,2019-11-27 11:25:15,reserve,user
5777,2,6,2019-11-27 11:25:18,cancel,user
5158,2,8,2019-11-27 11:31:09,reserve,user
5158,2,8,2019-11-27 11:31:15,cancel,user
1869,2,1,2019-11-27 11:33:31,reserve,user
1869,2,1,2019-11-27 11:33:51,cancel,user
5337,2,1,2019-11-27 11:35:09,reserve,user
5337,2,1,2019-11-27 11:35:20,confirm,user
570,2,6,2019-11-27 11:36:43,reserve,user
570,2,6,2019-11-27 11:37:15,confirm,user
570,2,6,2019-11-27 11:37:31,cancel,user
4862,2,7,2019-11-27 11:37:46,reserve,user
4862,2,7,2019-11-27 11:37:49,cancel,user
4862,2,5,2019-11-27 11:38:00,reserve,user
68,2,89,2019-11-27 11:38:43,reserve,user
4862,2,5,2019-11-27 11:38:47,confirm,user
688,2,90,2019-11-27 11:39:11,reserve,user
244,2,91,2019-11-27 11:39:33,reserve,user
2939,2,7,2019-11-27 11:39:37,reserve,user
2939,2,7,2019-11-27 11:40:18,confirm,user
688,2,90,2019-11-27 11:42:05,cancel,user
68,2,89,2019-11-27 11:42:57,cancel,user
244,2,91,2019-11-27 11:43:08,cancel,user
845,2,6,2019-11-27 11:59:43,reserve,user
845,2,6,2019-11-27 11:59:53,cancel,user
845,2,92,2019-11-27 12:00:16,reserve,user
845,2,92,2019-11-27 12:00:28,cancel,user
4713,2,89,2019-11-27 12:01:42,reserve,user
4713,2,89,2019-11-27 12:01:46,cancel,user
5856,2,92,2019-11-27 12:01:46,reserve,user
4713,2,91,2019-11-27 12:01:59,reserve,user
5856,2,92,2019-11-27 12:02:04,cancel,user
4713,2,91,2019-11-27 12:03:00,cancel,user
4713,2,89,2019-11-27 12:03:08,reserve,user
844,2,90,2019-11-27 12:07:36,reserve,user
4741,2,91,2019-11-27 12:08:55,reserve,user
5451,2,4,2019-11-27 12:12:50,confirm,user
5712,2,2,2019-11-27 12:12:58,confirm,user
5841,2,3,2019-11-27 12:13:02,confirm,user
5337,2,1,2019-11-27 12:14:50,confirm,user
3609,2,92,2019-11-27 12:22:17,reserve,user
4713,2,89,2019-11-27 12:22:33,confirm,user
3609,2,92,2019-11-27 12:22:47,cancel,user
844,2,90,2019-11-27 12:23:50,confirm,user
4741,2,91,2019-11-27 12:24:20,confirm,user
4738,2,6,2019-11-27 12:28:01,reserve,user
4738,2,6,2019-11-27 12:28:04,cancel,user
908,2,6,2019-11-27 12:28:47,reserve,user
908,2,6,2019-11-27 12:29:05,cancel,user
5715,2,6,2019-11-27 12:32:58,reserve,user
5715,2,6,2019-11-27 12:33:01,cancel,user
1926,2,6,2019-11-27 12:34:01,reserve,user
1926,2,6,2019-11-27 12:34:05,cancel,user
4862,2,5,2019-11-27 12:38:48,cancel,system
5339,2,5,2019-11-27 12:40:18,reserve,user
2939,2,7,2019-11-27 12:40:19,cancel,system
5339,2,5,2019-11-27 12:40:22,cancel,user
5526,2,92,2019-11-27 12:46:29,reserve,user
5526,2,92,2019-11-27 12:46:31,cancel,user
1186,2,92,2019-11-27 12:50:48,reserve,user
3592,2,7,2019-11-27 12:52:25,reserve,user
2651,2,8,2019-11-27 12:52:49,reserve,user
3592,2,7,2019-11-27 12:52:50,cancel,user
4460,2,5,2019-11-27 12:52:52,reserve,user
2651,2,8,2019-11-27 12:52:52,cancel,user
4460,2,5,2019-11-27 12:52:56,cancel,user
5242,2,5,2019-11-27 12:55:30,reserve,user
3656,2,6,2019-11-27 12:56:15,reserve,user
3656,2,6,2019-11-27 12:56:25,cancel,user
5242,2,5,2019-11-27 12:56:39,confirm,user
1028,2,6,2019-11-27 12:58:43,reserve,user
1028,2,6,2019-11-27 12:58:46,cancel,user
1069,2,7,2019-11-27 13:01:41,reserve,user
1069,2,7,2019-11-27 13:01:44,cancel,user
5841,2,3,2019-11-27 13:05:06,confirm,user
5451,2,4,2019-11-27 13:05:23,confirm,user
251,2,6,2019-11-27 13:09:23,reserve,user
5712,2,2,2019-11-27 13:09:29,confirm,user
251,2,6,2019-11-27 13:09:35,cancel,user
1186,2,92,2019-11-27 13:10:49,cancel,system
3931,2,6,2019-11-27 13:14:21,reserve,user
5337,2,1,2019-11-27 13:14:51,cancel,system
3931,2,6,2019-11-27 13:14:56,confirm,user
5337,2,1,2019-11-27 13:14:59,reserve,user
3812,2,7,2019-11-27 13:17:13,reserve,user
3029,2,8,2019-11-27 13:17:48,reserve,user
3029,2,8,2019-11-27 13:18:01,cancel,user
3413,2,8,2019-11-27 13:18:26,reserve,user
3413,2,8,2019-11-27 13:18:33,cancel,user
844,2,90,2019-11-27 13:19:33,confirm,user
4713,2,89,2019-11-27 13:19:48,confirm,user
4741,2,91,2019-11-27 13:20:40,confirm,user
3812,2,7,2019-11-27 13:21:24,cancel,user
3812,2,7,2019-11-27 13:21:43,reserve,user
2692,2,8,2019-11-27 13:22:37,reserve,user
2692,2,8,2019-11-27 13:22:39,cancel,user
3043,2,92,2019-11-27 13:23:16,reserve,user
3812,2,7,2019-11-27 13:23:18,confirm,user
3043,2,92,2019-11-27 13:23:26,cancel,user
2939,2,8,2019-11-27 13:26:31,reserve,user
2939,2,8,2019-11-27 13:26:56,confirm,user
5337,2,1,2019-11-27 13:27:54,confirm,user
5043,2,92,2019-11-27 13:30:50,reserve,user
5043,2,92,2019-11-27 13:50:51,cancel,system
5242,2,5,2019-11-27 13:56:40,cancel,system
5841,2,3,2019-11-27 13:57:33,confirm,user
5451,2,4,2019-11-27 13:57:39,confirm,user
4862,2,5,2019-11-27 14:04:19,reserve,user
4161,2,92,2019-11-27 14:06:32,reserve,user
4161,2,92,2019-11-27 14:06:36,cancel,user
5712,2,2,2019-11-27 14:09:30,cancel,system
1509,2,2,2019-11-27 14:10:54,reserve,user
1509,2,2,2019-11-27 14:11:02,cancel,user
3931,2,6,2019-11-27 14:14:57,cancel,system
5712,2,2,2019-11-27 14:15:27,reserve,user
5712,2,2,2019-11-27 14:15:50,confirm,user
844,2,90,2019-11-27 14:18:58,confirm,user
4741,2,91,2019-11-27 14:19:06,confirm,user
4713,2,89,2019-11-27 14:19:37,confirm,user
1738,2,6,2019-11-27 14:19:39,reserve,user
1738,2,6,2019-11-27 14:19:46,cancel,user
3812,2,7,2019-11-27 14:23:19,cancel,system
4862,2,5,2019-11-27 14:24:20,cancel,system
2939,2,8,2019-11-27 14:26:57,cancel,system
5337,2,1,2019-11-27 14:27:55,cancel,system
3824,2,8,2019-11-27 14:28:11,reserve,user
1907,2,6,2019-11-27 14:28:13,reserve,user
3824,2,8,2019-11-27 14:28:21,cancel,user
1907,2,6,2019-11-27 14:28:25,cancel,user
3812,2,5,2019-11-27 14:30:21,reserve,user
4862,2,8,2019-11-27 14:30:25,reserve,user
3931,2,6,2019-11-27 14:30:40,reserve,user
4862,2,8,2019-11-27 14:30:42,cancel,user
3931,2,6,2019-11-27 14:30:45,confirm,user
4862,2,7,2019-11-27 14:30:48,reserve,user
4862,2,7,2019-11-27 14:31:09,confirm,user
5337,2,1,2019-11-27 14:31:19,reserve,user
1126,2,8,2019-11-27 14:33:04,reserve,user
5337,2,1,2019-11-27 14:33:39,confirm,user
3812,2,5,2019-11-27 14:33:57,confirm,user
3824,2,92,2019-11-27 14:34:55,reserve,user
3824,2,92,2019-11-27 14:35:02,cancel,user
844,2,90,2019-11-27 14:37:10,confirm,user
4741,2,91,2019-11-27 14:37:16,confirm,user
4713,2,89,2019-11-27 14:37:30,confirm,user
3481,2,92,2019-11-27 14:37:32,reserve,user
3481,2,92,2019-11-27 14:37:35,cancel,user
2587,2,92,2019-11-27 14:43:59,reserve,user
2587,2,92,2019-11-27 14:44:05,cancel,user
2259,2,92,2019-11-27 14:48:42,reserve,user
2259,2,92,2019-11-27 14:48:49,cancel,user
1126,2,8,2019-11-27 14:53:05,cancel,system
5337,2,1,2019-11-27 14:55:57,confirm,user
5841,2,3,2019-11-27 14:57:34,cancel,system
5451,2,4,2019-11-27 14:57:40,cancel,system
844,2,90,2019-11-27 14:57:45,cancel,user
4194,2,92,2019-11-27 15:02:25,reserve,user
4194,2,92,2019-11-27 15:03:07,confirm,user
4512,2,8,2019-11-27 15:06:27,reserve,user
4512,2,8,2019-11-27 15:06:29,cancel,user
4512,2,8,2019-11-27 15:06:42,reserve,user
4512,2,8,2019-11-27 15:06:45,cancel,user
5712,2,2,2019-11-27 15:12:07,confirm,user
285,2,90,2019-11-27 15:26:16,reserve,user
285,2,90,2019-11-27 15:26:19,cancel,user
4862,2,7,2019-11-27 15:30:39,confirm,user
3931,2,6,2019-11-27 15:30:46,cancel,system
3812,2,5,2019-11-27 15:30:58,confirm,user
556,2,90,2019-11-27 15:31:39,reserve,user
556,2,90,2019-11-27 15:32:27,confirm,user
4741,2,91,2019-11-27 15:35:28,confirm,user
4713,2,89,2019-11-27 15:35:35,confirm,user
4445,2,6,2019-11-27 15:36:45,reserve,user
4445,2,6,2019-11-27 15:36:52,cancel,user
4978,2,8,2019-11-27 15:36:56,reserve,user
4978,2,8,2019-11-27 15:37:02,cancel,user
545,2,3,2019-11-27 15:42:28,reserve,user
545,2,3,2019-11-27 15:42:31,cancel,user
545,2,8,2019-11-27 15:42:40,reserve,user
3342,2,4,2019-11-27 15:46:45,reserve,user
3342,2,4,2019-11-27 15:46:51,cancel,user
545,2,8,2019-11-27 15:53:43,cancel,user
545,2,8,2019-11-27 15:53:49,reserve,user
5337,2,1,2019-11-27 15:53:56,confirm,user
5712,2,2,2019-11-27 15:54:02,confirm,user
545,2,8,2019-11-27 15:54:39,cancel,user
545,2,8,2019-11-27 15:55:22,reserve,user
545,2,8,2019-11-27 15:55:48,cancel,user
4711,2,3,2019-11-27 15:59:09,reserve,user
